step,epoch,loss,cosine,pred_norm,target_norm,lr,ema
462,1,0.0026858793571591377,,,,3.4724999999999998e-06,1.0
463,1,0.0027795236092060804,,,,3.48e-06,1.0
464,1,0.002708781510591507,,,,3.4875e-06,1.0
465,1,0.0026656505651772022,,,,3.4950000000000004e-06,1.0
466,1,0.0027651721611618996,,,,3.5025e-06,1.0
467,1,0.0026666063349694014,,,,3.5100000000000003e-06,1.0
468,1,0.0028079987969249487,,,,3.5175e-06,1.0
469,1,0.002676920033991337,,,,3.525e-06,1.0
470,1,0.0027565425261855125,,,,3.5325e-06,1.0
471,1,0.0026534097269177437,,,,3.54e-06,1.0
472,1,0.002675494644790888,,,,3.5475000000000003e-06,1.0
473,1,0.002718387171626091,,,,3.555e-06,1.0
